,index,year,month,expenses_per_capita,average_price_per_kg_or_l
1893,2385,0.0,3,0.02843601895734597,0.36241610738255037
1935,2436,0.0,3,0.02843601895734597,0.4049217002237137
1978,2487,0.0,3,0.023696682464454978,0.3847874720357942
2022,2538,0.0,3,0.018957345971563982,0.3870246085011186
2064,2589,0.0,3,0.023696682464454978,0.47427293064876963
2106,2640,0.0,3,0.004739336492890996,0.3557046979865772
2149,2691,0.0,3,0.004739336492890996,0.5324384787472036
2192,2742,0.0,3,0.014218009478672985,0.4966442953020135
2235,2844,0.0,4,0.17061611374407581,0.42505592841163314
2279,2895,0.0,4,0.10900473933649289,0.4295302013422819
2322,2946,0.0,4,0.14218009478672985,0.3668903803131991
2366,2997,0.0,4,0.15165876777251186,0.4228187919463087
2410,3048,0.0,4,0.13744075829383887,0.4026845637583893
2454,3099,0.0,4,0.11374407582938388,0.3131991051454139
2498,3150,0.0,4,0.1042654028436019,0.3713646532438479
2542,3201,0.0,4,0.06635071090047394,0.389261744966443
2585,3252,0.0,4,0.042654028436018954,0.39149888143176736
2628,3303,0.0,4,0.06635071090047394,0.3780760626398211
2671,3354,0.0,4,0.08530805687203791,0.35346756152125286
2713,3405,0.0,4,0.07582938388625593,0.3713646532438479
2756,3456,0.0,4,0.05687203791469194,0.2662192393736018
2799,3507,0.0,4,0.08056872037914693,0.43400447427293065
2842,3558,0.0,4,0.05213270142180095,0.4071588366890381
2885,3609,0.0,4,0.05687203791469194,0.42505592841163314
2928,3660,0.0,4,0.018957345971563982,0.5570469798657719
2971,3762,0.0,5,0.47393364928909953,0.3288590604026846
3014,3813,0.0,5,0.5687203791469194,0.3064876957494408
3057,3864,0.0,5,0.33175355450236965,0.2751677852348994
3100,3915,0.0,5,0.4075829383886256,0.2953020134228188
3144,3966,0.0,5,0.4075829383886256,0.2908277404921701
3187,4017,0.0,5,0.38862559241706157,0.2751677852348994
3231,4068,0.0,5,0.38388625592417064,0.2706935123042506
3275,4119,0.0,5,0.4312796208530806,0.28859060402684567
3318,4170,0.0,5,0.32701421800947866,0.2684563758389262
3361,4221,0.0,5,0.4218009478672986,0.29306487695749445
3405,4272,0.0,5,0.2890995260663507,0.3131991051454139
3449,4323,0.0,5,0.18483412322274884,0.3109619686800895
3493,4374,0.0,5,0.2085308056872038,0.2639821029082774
3535,4425,0.0,5,0.3459715639810427,0.3109619686800895
3578,4476,0.0,5,0.2085308056872038,0.35346756152125286
3620,4527,0.0,5,0.2701421800947867,0.3064876957494408
3663,4578,0.0,5,0.22274881516587677,0.3087248322147651
3705,4680,0.0,6,0.8009478672985781,0.23042505592841167
3748,4731,0.0,6,0.7061611374407583,0.21476510067114096
3792,4782,0.0,6,0.6872037914691943,0.21923937360178972
3835,4833,0.0,6,0.7914691943127962,0.20357941834451904
3878,4884,0.0,6,0.6872037914691943,0.20134228187919465
3921,4935,0.0,6,0.7393364928909953,0.19910514541387025
3965,4986,0.0,6,0.6208530805687205,0.20357941834451904
4008,5037,0.0,6,0.8909952606635071,0.1946308724832215
4051,5088,0.0,6,0.6777251184834123,0.20581655480984343
4094,5139,0.0,6,0.5687203791469194,0.1923937360178971
4137,5190,0.0,6,0.3459715639810427,0.21252796420581657
4180,5241,0.0,6,0.3696682464454977,0.21923937360178972
4223,5292,0.0,6,0.37440758293838866,0.1968680089485459
4266,5343,0.0,6,0.5545023696682464,0.20357941834451904
4309,5394,0.0,6,0.4786729857819905,0.20134228187919465
4351,5445,0.0,6,0.5924170616113744,0.2259507829977629
4395,5496,0.0,6,0.5118483412322276,0.21700223713646533
4438,5598,0.0,7,0.7630331753554503,0.17449664429530204
4481,5649,0.0,7,0.7725118483412322,0.15883668903803133
4524,5700,0.0,7,0.7156398104265403,0.17002237136465326
4567,5751,0.0,7,0.8293838862559242,0.1521252796420582
4610,5802,0.0,7,0.5260663507109006,0.14541387024608504
4653,5853,0.0,7,0.6777251184834123,0.14541387024608504
4697,5904,0.0,7,0.6208530805687205,0.15659955257270694
4740,5955,0.0,7,0.8293838862559242,0.14541387024608504
4784,6006,0.0,7,0.6635071090047393,0.13646532438478748
4827,6057,0.0,7,0.6492890995260664,0.1498881431767338
4870,6108,0.0,7,0.44549763033175355,0.15883668903803133
4913,6159,0.0,7,0.4218009478672986,0.17225950782997765
4956,6210,0.0,7,0.35071090047393366,0.15883668903803133
4998,6261,0.0,7,0.47393364928909953,0.15436241610738255
5041,6312,0.0,7,0.6872037914691943,0.16554809843400448
5084,6363,0.0,7,0.7440758293838863,0.15883668903803133
5126,6414,0.0,7,0.46919431279620855,0.17225950782997765
5169,6516,0.0,8,0.7203791469194313,0.15883668903803133
5211,6567,0.0,8,0.43601895734597157,0.15659955257270694
5253,6618,0.0,8,0.6824644549763033,0.12751677852348994
5296,6669,0.0,8,0.6777251184834123,0.1342281879194631
5338,6720,0.0,8,0.5639810426540284,0.15659955257270694
5381,6771,0.0,8,0.5402843601895734,0.13870246085011187
5424,6822,0.0,8,0.47393364928909953,0.1476510067114094
5467,6873,0.0,8,0.95260663507109,0.15659955257270694
5508,6924,0.0,8,0.38862559241706157,0.1297539149888143
5551,6975,0.0,8,0.5971563981042655,0.13870246085011187
5593,7026,0.0,8,0.5497630331753555,0.16554809843400448
5636,7077,0.0,8,0.49289099526066354,0.15659955257270694
5679,7128,0.0,8,0.3933649289099526,0.14093959731543626
5722,7179,0.0,8,0.5213270142180095,0.14317673378076065
5764,7230,0.0,8,0.3696682464454977,0.13870246085011187
5806,7281,0.0,8,0.8341232227488152,0.13870246085011187
5849,7332,0.0,8,0.41232227488151657,0.16778523489932887
5892,7434,0.0,9,0.4407582938388626,0.14541387024608504
5935,7485,0.0,9,0.4218009478672986,0.14317673378076065
5978,7536,0.0,9,0.33649289099526064,0.1319910514541387
6022,7587,0.0,9,0.4407582938388626,0.1319910514541387
6065,7638,0.0,9,0.33649289099526064,0.1342281879194631
6108,7689,0.0,9,0.37440758293838866,0.1342281879194631
6151,7740,0.0,9,0.41232227488151657,0.14317673378076065
6194,7791,0.0,9,0.4218009478672986,0.1297539149888143
6237,7842,0.0,9,0.33649289099526064,0.11856823266219241
6280,7893,0.0,9,0.3175355450236967,0.1342281879194631
6322,7944,0.0,9,0.24170616113744076,0.15659955257270694
6365,7995,0.0,9,0.3033175355450237,0.1521252796420582
6407,8046,0.0,9,0.15639810426540285,0.1498881431767338
6450,8097,0.0,9,0.2938388625592417,0.13870246085011187
6491,8148,0.0,9,0.35545023696682465,0.14541387024608504
6534,8199,0.0,9,0.3080568720379147,0.1319910514541387
6576,8250,0.0,9,0.3933649289099526,0.18120805369127518
6619,8352,0.0,10,0.07582938388625593,0.19015659955257272
6661,8403,0.0,10,0.15165876777251186,0.23489932885906042
6702,8454,0.0,10,0.047393364928909956,0.18344519015659955
6745,8505,0.0,10,0.09478672985781991,0.18568232662192394
6788,8556,0.0,10,0.09004739336492891,0.19910514541387025
6831,8607,0.0,10,0.12322274881516589,0.15659955257270694
6874,8658,0.0,10,0.0995260663507109,0.17002237136465326
6916,8709,0.0,10,0.1990521327014218,0.14317673378076065
6957,8760,0.0,10,0.11374407582938388,0.12751677852348994
6999,8811,0.0,10,0.06635071090047394,0.1521252796420582
7041,8862,0.0,10,0.16113744075829387,0.18568232662192394
7082,8913,0.0,10,0.11374407582938388,0.243847874720358
7124,8964,0.0,10,0.08056872037914693,0.11633109619686802
7166,9015,0.0,10,0.08530805687203791,0.17897091722595082
7209,9066,0.0,10,0.023696682464454978,0.1208053691275168
7251,9117,0.0,10,0.08056872037914693,0.1633109619686801
7293,9168,0.0,10,0.23696682464454977,0.2259507829977629
7334,9270,0.0,11,0.014218009478672985,0.2550335570469799
7375,9321,0.0,11,0.004739336492890996,0.2259507829977629
7417,9372,0.0,11,0.004739336492890996,0.17673378076062643
7458,9423,0.0,11,0.014218009478672985,0.36465324384787473
7500,9474,0.0,11,0.014218009478672985,0.46979865771812085
7543,9525,0.0,11,0.004739336492890996,0.2259507829977629
7585,9576,0.0,11,0.014218009478672985,0.20357941834451904
7628,9627,0.0,11,0.009478672985781991,0.3087248322147651
7668,9678,0.0,11,0.004739336492890996,0.11856823266219241
7709,9729,0.0,11,0.2511848341232228,0.33109619686800895
7749,9780,0.0,11,0.014218009478672985,0.35346756152125286
7791,9831,0.0,11,0.004739336492890996,0.20357941834451904
7830,9882,0.0,11,0.0,0.0
7870,9933,0.0,11,0.009478672985781991,0.4429530201342282
7910,9984,0.0,11,0.004739336492890996,0.4429530201342282
7951,10035,0.0,11,0.0,0.0
7994,10086,0.0,11,0.05213270142180095,0.29753914988814323
8035,10188,0.0,12,0.0,0.2237136465324385
8075,10239,0.0,12,0.014218009478672985,0.46756152125279643
8115,10290,0.0,12,0.0,0.0
8157,10341,0.0,12,0.014218009478672985,0.4899328859060403
8197,10392,0.0,12,0.014218009478672985,0.6599552572706936
